unique_id;plant_sp;fungal_sp;replicate;treatment;block;Height t0;Height t1;Dead/Sick
620;PJA;RER;5;70;3;0,9;2,6;
153;PJA;RHE;6;16;3;0,7;1,1;
464;PJA;JPK-87;5;52;3;1;1,7;
694;PJA;MGK;1;79;3;1,4;2,1;
229;PJA;MEV;4;25;3;0,7;1,6;
310;PJA;MEB;7;34;3;1;2,6;
538;PJA;JPK-132;1;61;4;1,6;2,5;
466;PJA;JPK-87;7;52;4;1,2;1,8;
306;PJA;MEB;3;34;4;1,2;1,9;
696;PJA;MGK;3;79;4;0,9;1,6;
150;PJA;RHE;3;16;4;1,3;2,1;
386;PJA;OMA;5;43;4;0,7;1;
618;PJA;RER;3;70;4;1,4;2,4;
68;PJA;STR;8;7;4;1,1;1,4;
230;PJA;MEV;5;25;4;1;1;
619;PJA;RER;4;70;5;1,3;2,9;
154;PJA;RHE;7;16;5;1,2;1,9;
383;PJA;OMA;2;43;5;1;2;
698;PJA;MGK;5;79;5;0,6;1,5;
63;PJA;STR;3;7;5;1,6;2;
304;PJA;MEB;1;34;5;1,3;2,1;
461;PJA;JPK-87;2;52;5;;;*
228;PJA;MEV;3;25;5;0,6;1,9;
541;PJA;JPK-132;4;61;5;0,4;2;
695;PJA;MGK;2;79;2;1,2;1,3;
540;PJA;JPK-132;3;61;6;1,8;3,7;
232;PJA;MEV;7;25;6;1;2,6;
384;PJA;OMA;3;43;6;1,2;2,5;
617;PJA;RER;2;70;6;1;2,1;
152;PJA;RHE;5;16;6;0,7;1,4;
463;PJA;JPK-87;4;52;6;1,4;1,7;
697;PJA;MGK;4;79;6;1,6;2;
66;PJA;STR;6;7;6;1,3;3,3;
307;PJA;MEB;4;34;6;1,4;2;
61;PJA;STR;1;7;7;2;2,1;
462;PJA;JPK-87;3;52;7;;;*
700;PJA;MGK;7;79;7;1;2,5;
305;PJA;MEB;2;34;7;1,8;4,6;
226;PJA;MEV;1;25;7;2;3,7;
151;PJA;RHE;4;16;7;1;2,5;
621;PJA;RER;6;70;7;2;2,6;
539;PJA;JPK-132;2;61;7;1,2;2,9;
387;PJA;OMA;6;43;7;1,4;1,6;
70;PJA;STR;10;7;7;1,1;1,5;
64;PJA;STR;4;7;8;1,7;2,2;
67;PJA;STR;7;7;8;1,3;2,9;
511;RAR;JPK-132;1;58;1;1,7;3,1;
203;RAR;MEV;5;22;1;1;2,8;
361;RAR;OMA;7;40;1;1,5;1,3;
589;RAR;RER;1;67;1;0,8;1,3;
434;RAR;JPK-87;2;49;1;1;1,1;
126;RAR;RHE;6;13;1;0,4;1,5;
667;RAR;MGK;1;76;1;0,8;2,7;
282;RAR;MEB;6;31;1;1;1,4;
31;RAR;STR;1;4;1;1,2;1,5;
123;RAR;RHE;3;13;1;0,3;0,8;
513;RAR;JPK-132;3;58;1;1,5;4,5;
277;RAR;MEB;1;31;1;0,9;3;
593;RAR;RER;5;67;2;2;2,5;
435;RAR;JPK-87;3;49;2;1,5;1,3;
130;RAR;RHE;10;13;2;0,6;2,2;
364;RAR;OMA;10;40;2;0,7;2;
519;RAR;JPK-132;9;58;2;1,8;3,7;
33;RAR;STR;3;4;2;1,4;1,2;
202;RAR;MEV;4;22;2;0,8;2,6;
668;RAR;MGK;2;76;2;1,2;2,8;
280;RAR;MEB;4;31;2;0,3;1,7;
514;RAR;JPK-132;4;58;5;;;*
32;RAR;STR;2;4;2;0,6;0,6;
592;RAR;RER;4;67;3;0,7;1,7;
285;RAR;MEB;9;31;3;1,2;1,4;
201;RAR;MEV;3;22;3;1,3;3,6;
125;RAR;RHE;5;13;3;0,8;1,8;
516;RAR;JPK-132;6;58;3;0,6;3,2;
359;RAR;OMA;5;40;3;1,2;2;
436;RAR;JPK-87;4;49;3;;;*
437;RAR;JPK-87;5;49;3;1,4;1,6;
669;RAR;MGK;3;76;3;0,7;2;
286;RAR;MEB;10;31;5;;;*
671;RAR;MGK;5;76;3;1;4;
283;RAR;MEB;7;31;4;0,8;1,1;
590;RAR;RER;2;67;4;0,7;2,5;
